Model: Gemini3.1 Pro,,,,
"Prompt1: ### Task

List public databases that host ATAC-seq data from human samples with Type 2 Diabetes (T2D).

### Output Format

| Database Name | URL | ATAC-seq Availability | Notes |

### Constraints

* Disease must be Type 2 Diabetes (T2D) only
* ATAC-seq only (exclude RNA-seq, ChIP-seq, etc.)
* Include only databases/repositories (not individual datasets)
* Publicly accessible resources only
* Minimum 5, maximum 10 entries
",,,,
,,,,
,,,,
,,,,
Database Name,URL,ATAC-seq Availability,Notes,
Common Metabolic Diseases Genome Atlas (CMDGA),cmdga.org (https://www.cmdga.org/),High (Raw & Processed),"Specifically designed to host functional genomic data (ATAC, snATAC) for T2D-relevant tissues like islets, liver, and muscle.",
T2D Knowledge Portal (T2DKP),t2d.hugeamp.org (https://t2d.hugeamp.org/),High (Aggregated Tracks),The primary hub for T2D genetics; aggregates ATAC-seq peaks from major consortia to visualize alongside GWAS risk variants.,
HPAP (Human Pancreas Analysis Program),hpap.pmacs.upenn.edu (https://hpap.pmacs.upenn.edu/),High (Donor-specific),"Provides raw and processed ATAC-seq data from high-quality human pancreatic islet donors, including those with T2D and pre-diabetes.",
NCBI Gene Expression Omnibus (GEO),ncbi.nlm.nih.gov/geo (https://www.ncbi.nlm.nih.gov/geo/),High (Primary Archive),"The global repository where individual study authors deposit raw T2D ATAC-seq datasets (e.g., GSE123661, GSE160435).",
European Genome-phenome Archive (EGA),ega-archive.org (https://ega-archive.org/),High (Controlled Access),"Often used for European T2D cohorts; hosts sensitive raw sequencing data (e.g., Thurner et al. islet ATAC-seq datasets).",
IHEC Data Portal,ihec-epigenomes.org (https://ihec-epigenomes.org/),Medium (Searchable),"Allows users to filter human epigenomic maps by ""Type 2 Diabetes"" to find ATAC-seq experiments across various tissues.",
,,,,
,,,,
,,,,
"Prompt2: ### Task                                                                                                                            
                                                                                                                                       
   List public databases containing ATAC-seq data from human pancreatic islets or beta cells in Type 2 Diabetes (T2D).                 
                                                                                                                                       
   ### Output Format                                                                                                                   
                                                                                                                                       
   Database Name:                                                                                                                      
   URL:                                                                                                                                
   Sample Type: Islets / Beta cells / Both                                                                                             
   Access: API / FTP / Direct download                                                                                                 
   Notes:        ",,,,
,,,,
,,,,
,,,,
Database Name,URL,Sample Type,Access,Notes
Common Metabolic Diseases Genome Atlas (CMDGA),https://www.cmdga.org/,Both (Islets and single-cell/nucleus Beta cells),Direct download / API,"Primary repository for islet epigenomics; hosts raw sequencing files, peak sets, and single-cell embeddings specifically for metabolic disease research."
HPAP / PANC-DB (Human Pancreas Analysis Program),https://hpap.pmacs.upenn.edu/,Both (Islets and Beta cells),Direct download / SFTP,"Part of the Human Pancreas Analysis Program; offers comprehensive ATAC-seq donor profiles for T2D, T1D, and healthy controls. Large datasets require an SFTP download script generated by the portal."
T2D Knowledge Portal (T2DKP),https://t2d.hugeamp.org/,Islets,API / Direct download (via Lunaris),"Aggregates chromatin accessibility tracks from various consortia (AMP-T2D); utilizes the ""Lunaris"" tool for programmatic, region-based extraction of genomic annotations."
Islet Epigenome Browser,http://isletgenomics.org/,Both (Islets and Beta cells),Direct download,Specialized browser for visualizing regulatory elements in human islets; provides direct links to processed data and relevant publications for T2D epigenomics.
NCBI Gene Expression Omnibus (GEO),https://www.ncbi.nlm.nih.gov/geo/,Both (Islets and Beta cells),FTP / Direct download,"The global primary archive where individual datasets (e.g., GSE160435, GSE194401) are hosted; researchers can download raw FASTQ or processed matrix files directly or via FTP."
,,,,
"Prompt3:
  ### Task                                                                                                                            
                                                                                                                                       
   Identify databases that provide programmatic access (API/FTP) to ATAC-seq data from Type 2 Diabetes (T2D) human samples.            
                                                                                                                                       
   ### Output Format                                                                                                                   
                                                                                                                                       
   | Database | API/FTP Available | Access Type | URL |    ",,,,
,,,,
,,,,
,,,,
,,,,
Database,API/FTP Available,Access Type,URL,
NCBI GEO,Yes (FTP),Public FTP and SRA Toolkit,ncbi.nlm.nih.gov/geo (https://www.ncbi.nlm.nih.gov/geo/),
HPAP (PANC-DB),Yes (SFTP),SFTP (via portal-generated script),hpap.pmacs.upenn.edu (https://hpap.pmacs.upenn.edu/),
T2D Knowledge Portal,Yes (API),REST API and Lunaris Tool,t2d.hugeamp.org (https://t2d.hugeamp.org/),
CMDGA,Yes (API),Programmatic REST API,cmdga.org (https://www.cmdga.org/),
European Genome-phenome Archive (EGA),Yes (SFTP/API),pyEGA3 and REST API (controlled),ega-archive.org (https://ega-archive.org/),
ENCODE Project,Yes (API),REST API and bulk download scripts,encodeproject.org (https://www.encodeproject.org/),
,,,,
"Prompt4:  ### Context                                                                                                                         
                                                                                                                                       
   Here is a list of databases with ATAC-seq data from Type 2 Diabetes (T2D): [paste list]                                             
                                                                                                                                       
   ### Task                                                                                                                            
                                                                                                                                       
   Score each database (1–3 scale):                                                                                                    
                                                                                                                                       
   1. Data quality (QC/standardization)                                                                                                
   2. Accessibility (API/FTP availability)                                                                                             
   3. T2D annotation clarity (clear disease labeling)                                                                                  
                                                                                                                                       
   ### Output Format                                                                                                                   
                                                                                                                                       
   | Database | Quality | Accessibility | T2D Clarity | Total |                                                                        
                                                                                                                                       
   Sort by Total (highest first)        ",,,,
,,,,
,,,,
,,,,
,,,,
Database,Quality,Accessibility,T2D Clarity,Total
HPAP (PANC-DB),3,3,3,9
CMDGA,3,3,2,8
T2D Knowledge Portal,2,3,3,8
ENCODE Project,3,3,1,7
NCBI GEO,1,2,2,5
EGA,2,1,2,5
Scoring Key:,,,,
"* Quality: 3 = Uniformly processed, high-resolution; 2 = Reliable but study-specific; 1 = Variable (user-submitted).",,,,
* Accessibility: 3 = Robust API/SFTP; 2 = Direct download/FTP; 1 = Controlled access/Manual request required.,,,,
* T2D Clarity: 3 = Disease-centric metadata/labels; 2 = Searchable keyword tags; 1 = Primarily healthy/Controls only.,,,,
,,,,
"Prompt5: ### Context                                                                                                                         
                                                                                                                                       
   Known databases: GEO, ENCODE, Cistrome, ATACdb, ChIP-Atlas, Roadmap Epigenomics, ArrayExpress, IHEC                                 
                                                                                                                                       
   ### Task                                                                                                                            
                                                                                                                                       
   List any additional public databases NOT in the list above that contain ATAC-seq data from Type 2 Diabetes (T2D) human samples.     
                                                                                                                                       
   ### Output Format                                                                                                                   
                                                                                                                                       
   Name:                                                                                                                               
   URL:                                                                                                                                
   What makes it unique:  ",,,,
,,,,
,,,,
,,,,
,,,,
Name,URL,What makes it unique,,
HPAP / PANC-DB (Human Pancreas Analysis Program),https://hpap.pmacs.upenn.edu/,"Focuses exclusively on high-resolution phenotyping of human pancreatic islets; provides raw ATAC-seq data from high-quality clinical donors spanning T1D, T2D, and healthy controls.",,
Common Metabolic Diseases Genome Atlas (CMDGA),https://www.cmdga.org/,"A specialized hub for functional genomics of metabolic diseases; it hosts raw and processed ATAC-seq, snATAC-seq, and ChIP-seq data specifically from T2D-relevant tissues like liver, skeletal muscle, and adipose.",,
T2D Knowledge Portal (T2DKP),https://t2d.hugeamp.org/,"It is a genetics-first portal that integrates epigenomic annotations (ATAC-seq peaks) with GWAS risk variants, allowing researchers to prioritize potential effector genes for Type 2 Diabetes.",,
Islet Epigenome Browser,http://isletgenomics.org/,A highly specialized visualization and data portal for the regulatory landscape of human pancreatic islets; it consolidates islet-specific chromatin accessibility and architecture data from major T2D studies.,,
European Genome-phenome Archive (EGA),https://ega-archive.org/,"The primary repository for raw, controlled-access sequencing data from European-based T2D cohorts; it hosts datasets that are often not permitted in public archives like GEO due to patient privacy constraints.",,
